Layer,계약연도,시도,시군구,부서명,신용정보(\),전자압류(\),EGS (\),합계 (\),신용정보,전자압류,EGS,계약유형_계약여부
B,2025,강원도,춘천시,기타,2640,,0,2640,1,0,0,1
B,2025,경기도,김포시,기타,2640,2360,0,5000,1,1,0,1
B,2025,경기도,시흥시,기타,2640,20000,0,22640,1,1,0,1
B,2025,경기도,안양시,기타,4070,2200,0,6270,1,1,0,1
B,2025,경기도,양주시,기타,2640,4400,0,7040,1,1,0,1
B,2025,경기도,용인시,기타,7590,11550,7920,27060,1,1,1,1
B,2025,경기도,의왕시,기타,2640,1100,0,3740,1,1,0,1
B,2025,경기도,평택시,기타,2640,19800,7480,29920,1,1,1,1
B,2025,경기도,화성시,기타,2640,1100,0,3740,1,1,0,1
B,2025,경상남도,김해시,기타,2640,3300,0,5940,1,1,0,1
B,2025,경상남도,창원시,기타,9504,6600,4620,20724,1,1,1,1
B,2025,경상남도,함안군,기타,1980,1100,0,3080,1,1,0,1
A,2025,대전시,대전광역시,기타,5940,,0,5940,1,0,0,1
A,2025,부산시,부산광역시,기타,5280,1100,0,6380,1,1,0,1
B,2025,전라남도,목포시,기타,2640,,7920,10560,1,0,1,1
B,2025,충청남도,천안시,기타,2640,1100,10120,13860,1,1,1,1
B,2026,강원도,원주시,기타,2640,,0,2640,1,0,0,1
B,2026,강원도,춘천시,기타,,,,,0,0,0,0
B,2026,경기도,김포시,기타,2640,1860,0,4500,1,1,0,1
B,2026,경기도,시흥시,기타,2640,,0,2640,1,0,0,1
B,2026,경기도,안양시,기타,3960,2200,0,6160,1,1,0,1
B,2026,경기도,양주시,기타,2640,4400,0,7040,1,1,0,1
B,2026,경기도,용인시,기타,4950,10450,7920,23320,1,1,1,1
B,2026,경기도,의왕시,기타,2640,1100,0,3740,1,1,0,1
B,2026,경기도,평택시,기타,2640,6600,7480,16720,1,1,1,1
B,2026,경기도,화성시,기타,,,,,0,0,0,0
B,2026,경상남도,김해시,기타,,,,,0,0,0,0
B,2026,경상남도,창원시,기타,9504,6600,4620,20724,1,1,1,1
B,2026,경상남도,함안군,기타,1980,1100,0,3080,1,1,0,1
A,2026,대전시,대전광역시,기타,5940,,0,5940,1,0,0,1
A,2026,부산시,부산광역시,기타,,,,,0,0,0,0
B,2026,전라남도,목포시,기타,,,,,0,0,0,0
B,2026,충청남도,천안시,기타,2640,1100,10120,13860,1,1,1,1
B,2025,강원도,강릉시,세외수입,2640,8440,7920,19000,1,1,1,1
B,2025,강원도,동해시,세외수입,2640,,0,2640,1,0,0,1
B,2025,강원도,원주시,세외수입,2640,7700,0,10340,1,1,0,1
B,2025,강원도,인제군,세외수입,1320,,0,1320,1,0,0,1
B,2025,강원도,정선군,세외수입,2640,,2640,5280,1,0,1,1
B,2025,강원도,태백시,세외수입,1320,,2640,3960,1,0,1,1
B,2025,경기도,가평군,세외수입,2640,3300,7480,13420,1,1,1,1
A,2025,경기도,경기도,세외수입,5280,,0,5280,1,0,0,1
B,2025,경기도,고양시,세외수입,11000,5500,0,16500,1,1,0,1
B,2025,경기도,과천시,세외수입,3960,,0,3960,1,0,0,1
B,2025,경기도,광명시,세외수입,2640,3850,7920,14410,1,1,1,1
B,2025,경기도,광주시,세외수입,1320,1100,10120,12540,1,1,1,1
B,2025,경기도,구리시,세외수입,2640,4400,8433,15473,1,1,1,1
B,2025,경기도,군포시,세외수입,2640,1100,10120,13860,1,1,1,1
B,2025,경기도,김포시,세외수입,1320,34118,10120,45558,1,1,1,1
B,2025,경기도,남양주시,세외수입,,4400,0,4400,0,1,0,1
B,2025,경기도,동두천시,세외수입,3960,2550,10120,16630,1,1,1,1
B,2025,경기도,부천시,세외수입,12320,22000,20240,54560,1,1,1,1
B,2025,경기도,성남시,세외수입,4840,26840,10120,41800,1,1,1,1
B,2025,경기도,수원시,세외수입,16720,28600,23760,69080,1,1,1,1
B,2025,경기도,시흥시,세외수입,7920,5500,0,13420,1,1,0,1
B,2025,경기도,안산시,세외수입,2640,8800,10120,21560,1,1,1,1
B,2025,경기도,안성시,세외수입,1320,1100,10120,12540,1,1,1,1
B,2025,경기도,안양시,세외수입,4180,10340,10120,24640,1,1,1,1
B,2025,경기도,양주시,세외수입,1320,1100,0,2420,1,1,0,1
B,2025,경기도,양평군,세외수입,1320,,0,1320,1,0,0,1
B,2025,경기도,여주시,세외수입,2640,9900,10120,22660,1,1,1,1
B,2025,경기도,오산시,세외수입,1320,,10120,11440,1,0,1,1
B,2025,경기도,용인시,세외수입,4400,23100,15840,43340,1,1,1,1
B,2025,경기도,의왕시,세외수입,3960,1100,20240,25300,1,1,1,1
B,2025,경기도,의정부시,세외수입,7260,20900,19360,47520,1,1,1,1
B,2025,경기도,이천시,세외수입,1320,1100,10120,12540,1,1,1,1
B,2025,경기도,평택시,세외수입,1320,9900,0,11220,1,1,0,1
B,2025,경기도,포천시,세외수입,6600,9900,0,16500,1,1,0,1
B,2025,경기도,하남시,세외수입,3960,3300,0,7260,1,1,0,1
B,2025,경기도,화성시,세외수입,3960,16060,17600,37620,1,1,1,1
B,2025,경상남도,거제시,세외수입,1980,7260,0,9240,1,1,0,1
B,2025,경상남도,거창군,세외수입,2640,1100,7480,11220,1,1,1,1
B,2025,경상남도,고성군,세외수입,2640,,7480,10120,1,0,1,1
B,2025,경상남도,김해시,세외수입,1320,9900,10120,21340,1,1,1,1
B,2025,경상남도,남해군,세외수입,880,6600,0,7480,1,1,0,1
B,2025,경상남도,밀양시,세외수입,2640,,10120,12760,1,0,1,1
B,2025,경상남도,산청군,세외수입,2640,1100,7480,11220,1,1,1,1
B,2025,경상남도,양산시,세외수입,2640,3300,10120,16060,1,1,1,1
B,2025,경상남도,진주시,세외수입,6600,4400,0,11000,1,1,0,1
B,2025,경상남도,창원시,세외수입,5940,,21780,27720,1,0,1,1
B,2025,경상남도,통영시,세외수입,2640,6600,0,9240,1,1,0,1
B,2025,경상북도,경산시,세외수입,3960,,10120,14080,1,0,1,1
B,2025,경상북도,경주시,세외수입,3960,6150,5280,15390,1,1,1,1
B,2025,경상북도,상주시,세외수입,3960,3300,0,7260,1,1,0,1
B,2025,경상북도,성주군,세외수입,2640,2680,7480,12800,1,1,1,1
B,2025,경상북도,칠곡군,세외수입,2640,1288,7480,11408,1,1,1,1
B,2025,경상북도,포항시,세외수입,3960,2200,9040,15200,1,1,1,1
B,2025,광주시,광산구,세외수입,3960,,10140,14100,1,0,1,1
A,2025,광주시,광주광역시,세외수입,3520,2200,0,5720,1,1,0,1
B,2025,광주시,동구,세외수입,1320,550,10120,11990,1,1,1,1
B,2025,광주시,북구,세외수입,3960,5500,20240,29700,1,1,1,1
B,2025,광주시,서구,세외수입,1320,2200,10120,13640,1,1,1,1
B,2025,대구시,남구,세외수입,1320,1100,0,2420,1,1,0,1
B,2025,대구시,달성군,세외수입,1320,,6160,7480,1,0,1,1
B,2025,대구시,서구,세외수입,1320,,0,1320,1,0,0,1
B,2025,대구시,수성구,세외수입,1320,1100,0,2420,1,1,0,1
B,2025,대구시,중구,세외수입,,,,,0,0,0,0
B,2025,대전시,대덕구,세외수입,2640,,0,2640,1,0,0,1
A,2025,대전시,대전광역시,세외수입,3960,3300,10120,17380,1,1,1,1
B,2025,대전시,동구,세외수입,1320,6600,10120,18040,1,1,1,1
B,2025,대전시,서구,세외수입,3960,2200,10120,16280,1,1,1,1
B,2025,대전시,유성구,세외수입,3960,2200,20240,26400,1,1,1,1
B,2025,대전시,중구,세외수입,3960,3300,20240,27500,1,1,1,1
B,2025,부산시,강서구,세외수입,3960,1100,0,5060,1,1,0,1
B,2025,부산시,금정구,세외수입,3960,1100,0,5060,1,1,0,1
B,2025,부산시,기장군,세외수입,1320,1100,0,2420,1,1,0,1
B,2025,부산시,북구,세외수입,5280,1100,0,6380,1,1,0,1
B,2025,부산시,사하구,세외수입,3960,,10120,14080,1,0,1,1
B,2025,부산시,서구,세외수입,7920,1100,0,9020,1,1,0,1
B,2025,부산시,영도구,세외수입,3960,,0,3960,1,0,0,1
B,2025,서울시,강남구,세외수입,2640,,0,2640,1,0,0,1
B,2025,서울시,강동구,세외수입,2640,,0,2640,1,0,0,1
B,2025,서울시,강북구,세외수입,,,,,0,0,0,0
B,2025,서울시,강서구,세외수입,3960,9900,0,13860,1,1,0,1
B,2025,서울시,관악구,세외수입,3960,,0,3960,1,0,0,1
B,2025,서울시,광진구,세외수입,2640,3300,0,5940,1,1,0,1
B,2025,서울시,구로구,세외수입,2640,,0,2640,1,0,0,1
B,2025,서울시,도봉구,세외수입,1320,,0,1320,1,0,0,1
B,2025,서울시,동대문구,세외수입,2640,,0,2640,1,0,0,1
A,2025,서울시,서울특별시,세외수입,7370,3300,0,10670,1,1,0,1
B,2025,서울시,서초구,세외수입,2640,,0,2640,1,0,0,1
B,2025,서울시,성동구,세외수입,15840,22880,0,38720,1,1,0,1
B,2025,서울시,성북구,세외수입,2200,1100,0,3300,1,1,0,1
B,2025,서울시,양천구,세외수입,2500,,0,2500,1,0,0,1
B,2025,서울시,영등포구,세외수입,2640,,0,2640,1,0,0,1
B,2025,서울시,은평구,세외수입,2640,5500,0,8140,1,1,0,1
B,2025,서울시,종로구,세외수입,4290,,0,4290,1,0,0,1
B,2025,서울시,중구,세외수입,7920,8800,0,16720,1,1,0,1
B,2025,서울시,중랑구,세외수입,2640,1100,0,3740,1,1,0,1
A,2025,세종시,세종특별자치시,세외수입,3960,3300,10120,17380,1,1,1,1
A,2025,울산시,울산광역시,세외수입,3960,1100,0,5060,1,1,0,1
B,2025,울산시,남구,세외수입,1320,,0,1320,1,0,0,1
B,2025,울산시,북구,세외수입,3960,2200,0,6160,1,1,0,1
B,2025,울산시,울주군,세외수입,3960,1100,0,5060,1,1,0,1
B,2025,울산시,중구,세외수입,1320,9900,0,11220,1,1,0,1
B,2025,인천시,강화군,세외수입,,,7480,7480,0,0,1,1
B,2025,인천시,계양구,세외수입,2640,9900,10120,22660,1,1,1,1
B,2025,인천시,남동구,세외수입,3960,2200,10120,16280,1,1,1,1
B,2025,인천시,미추홀구,세외수입,4290,5500,0,9790,1,1,0,1
B,2025,인천시,부평구,세외수입,2640,3300,0,5940,1,1,0,1
B,2025,인천시,서구,세외수입,5280,6600,10120,22000,1,1,1,1
B,2025,인천시,연수구,세외수입,3960,2200,10120,16280,1,1,1,1
B,2025,인천시,옹진군,세외수입,3960,1100,7480,12540,1,1,1,1
A,2025,인천시,인천광역시,세외수입,2640,,0,2640,1,0,0,1
B,2025,인천시,중구,세외수입,5280,3300,10120,18700,1,1,1,1
B,2025,전라남도,강진군,세외수입,1320,,0,1320,1,0,0,1
B,2025,전라남도,고흥군,세외수입,2640,,0,2640,1,0,0,1
B,2025,전라남도,광양시,세외수입,3960,3300,0,7260,1,1,0,1
B,2025,전라남도,구례군,세외수입,1320,2200,5280,8800,1,1,1,1
B,2025,전라남도,나주시,세외수입,1320,9900,7920,19140,1,1,1,1
B,2025,전라남도,담양군,세외수입,660,1320,3300,5280,1,1,1,1
B,2025,전라남도,무안군,세외수입,1320,,0,1320,1,0,0,1
B,2025,전라남도,보성군,세외수입,1320,3300,0,4620,1,1,0,1
B,2025,전라남도,순천시,세외수입,3960,2246,7920,14126,1,1,1,1
B,2025,전라남도,영광군,세외수입,1320,,7480,8800,1,0,1,1
B,2025,전라남도,완도군,세외수입,1320,,0,1320,1,0,0,1
B,2025,전라남도,장성군,세외수입,2640,,0,2640,1,0,0,1
B,2025,전라남도,장흥군,세외수입,2640,,2640,5280,1,0,1,1
B,2025,전라남도,함평군,세외수입,1320,,5280,6600,1,0,1,1
B,2025,전라북도,군산시,세외수입,6600,4280,10120,21000,1,1,1,1
B,2025,전라북도,김제시,세외수입,7920,4400,0,12320,1,1,0,1
B,2025,전라북도,남원시,세외수입,3960,1100,0,5060,1,1,0,1
B,2025,전라북도,무주군,세외수입,,,,,0,0,0,0
B,2025,전라북도,부안군,세외수입,3960,,0,3960,1,0,0,1
B,2025,전라북도,순창군,세외수입,2640,1100,0,3740,1,1,0,1
B,2025,전라북도,완주군,세외수입,3960,4400,0,8360,1,1,0,1
B,2025,전라북도,익산시,세외수입,3960,1100,10120,15180,1,1,1,1
B,2025,전라북도,장수군,세외수입,2640,1100,0,3740,1,1,0,1
A,2025,전라북도,전북특별자치도,세외수입,3960,2200,0,6160,1,1,0,1
B,2025,전라북도,전주시,세외수입,7920,11000,7920,26840,1,1,1,1
B,2025,전라북도,정읍시,세외수입,3960,1100,0,5060,1,1,0,1
B,2025,제주도,서귀포시,세외수입,1320,2640,0,3960,1,1,0,1
A,2025,제주도,제주특별자치도,세외수입,11880,24900,18480,55260,1,1,1,1
B,2025,충청남도,계룡시,세외수입,2640,1100,0,3740,1,1,0,1
B,2025,충청남도,공주시,세외수입,6600,3300,0,9900,1,1,0,1
B,2025,충청남도,금산군,세외수입,2640,6600,0,9240,1,1,0,1
B,2025,충청남도,논산시,세외수입,2640,1100,10120,13860,1,1,1,1
B,2025,충청남도,당진시,세외수입,3960,1100,0,5060,1,1,0,1
B,2025,충청남도,보령시,세외수입,3960,2200,0,6160,1,1,0,1
B,2025,충청남도,서산시,세외수입,1320,1100,0,2420,1,1,0,1
B,2025,충청남도,아산시,세외수입,2640,5500,10120,18260,1,1,1,1
B,2025,충청남도,예산군,세외수입,3960,1100,0,5060,1,1,0,1
B,2025,충청남도,천안시,세외수입,9240,3300,15400,27940,1,1,1,1
A,2025,충청남도,충청남도,세외수입,3960,1100,0,5060,1,1,0,1
B,2025,충청남도,홍성군,세외수입,2640,8800,0,11440,1,1,0,1
B,2025,충청북도,영동군,세외수입,2640,1100,0,3740,1,1,0,1
B,2025,충청북도,옥천군,세외수입,1320,3300,0,4620,1,1,0,1
B,2025,충청북도,음성군,세외수입,2640,2480,7480,12600,1,1,1,1
B,2025,충청북도,제천시,세외수입,3960,4400,7480,15840,1,1,1,1
B,2025,충청북도,증평군,세외수입,2640,2200,0,4840,1,1,0,1
B,2025,충청북도,청주시,세외수입,3960,15000,9330,28290,1,1,1,1
B,2025,충청북도,충주시,세외수입,1320,,9433,10753,1,0,1,1
A,2025,충청북도,충청북도,세외수입,3960,1040,0,5000,1,1,0,1
B,2026,강원도,강릉시,세외수입,,,,,0,0,0,0
B,2026,강원도,동해시,세외수입,2640,,0,2640,1,0,0,1
B,2026,강원도,원주시,세외수입,2640,7700,0,10340,1,1,0,1
B,2026,강원도,인제군,세외수입,,,,,0,0,0,0
B,2026,강원도,정선군,세외수입,,,,,0,0,0,0
B,2026,강원도,태백시,세외수입,,,,,0,0,0,0
B,2026,경기도,가평군,세외수입,2640,3300,7480,13420,1,1,1,1
A,2026,경기도,경기도,세외수입,,,,,0,0,0,0
B,2026,경기도,고양시,세외수입,11000,5500,0,16500,1,1,0,1
B,2026,경기도,과천시,세외수입,3960,,0,3960,1,0,0,1
B,2026,경기도,광명시,세외수입,2640,3850,7920,14410,1,1,1,1
B,2026,경기도,광주시,세외수입,1320,2200,20240,23760,1,1,1,1
B,2026,경기도,구리시,세외수입,,4400,9816,14216,0,1,1,1
B,2026,경기도,군포시,세외수입,1320,,10120,11440,1,0,1,1
B,2026,경기도,김포시,세외수입,1320,9900,10120,21340,1,1,1,1
B,2026,경기도,남양주시,세외수입,,4400,0,4400,0,1,0,1
B,2026,경기도,동두천시,세외수입,3960,1100,10120,15180,1,1,1,1
B,2026,경기도,부천시,세외수입,14520,15400,12320,42240,1,1,1,1
B,2026,경기도,성남시,세외수입,4840,26840,10120,41800,1,1,1,1
B,2026,경기도,수원시,세외수입,16720,52360,0,69080,1,1,0,1
B,2026,경기도,시흥시,세외수입,7920,5500,0,13420,1,1,0,1
B,2026,경기도,안산시,세외수입,2640,8800,10120,21560,1,1,1,1
B,2026,경기도,안성시,세외수입,1320,1100,10120,12540,1,1,1,1
B,2026,경기도,안양시,세외수입,4180,10340,10120,24640,1,1,1,1
B,2026,경기도,양주시,세외수입,1320,1100,0,2420,1,1,0,1
B,2026,경기도,양평군,세외수입,1320,,0,1320,1,0,0,1
B,2026,경기도,여주시,세외수입,2640,1100,10120,13860,1,1,1,1
B,2026,경기도,오산시,세외수입,,,,,0,0,0,0
B,2026,경기도,용인시,세외수입,4400,20900,15840,41140,1,1,1,1
B,2026,경기도,의왕시,세외수입,3960,1100,20240,25300,1,1,1,1
B,2026,경기도,의정부시,세외수입,4290,15400,18040,37730,1,1,1,1
B,2026,경기도,이천시,세외수입,1320,3300,10120,14740,1,1,1,1
B,2026,경기도,평택시,세외수입,1320,,0,1320,1,0,0,1
B,2026,경기도,포천시,세외수입,6600,1100,0,7700,1,1,0,1
B,2026,경기도,하남시,세외수입,3960,3300,0,7260,1,1,0,1
B,2026,경기도,화성시,세외수입,3960,11660,17600,33220,1,1,1,1
B,2026,경상남도,거제시,세외수입,2640,6600,0,9240,1,1,0,1
B,2026,경상남도,거창군,세외수입,2640,1100,7480,11220,1,1,1,1
B,2026,경상남도,고성군,세외수입,2640,,7480,10120,1,0,1,1
B,2026,경상남도,김해시,세외수입,1320,9900,10120,21340,1,1,1,1
B,2026,경상남도,남해군,세외수입,2640,1100,0,3740,1,1,0,1
B,2026,경상남도,밀양시,세외수입,2640,,10120,12760,1,0,1,1
B,2026,경상남도,산청군,세외수입,2640,1100,7480,11220,1,1,1,1
B,2026,경상남도,양산시,세외수입,2640,3300,10120,16060,1,1,1,1
B,2026,경상남도,진주시,세외수입,6600,4400,0,11000,1,1,0,1
B,2026,경상남도,창원시,세외수입,5940,,21780,27720,1,0,1,1
B,2026,경상남도,통영시,세외수입,1320,1100,0,2420,1,1,0,1
B,2026,경상북도,경산시,세외수입,3960,,10120,14080,1,0,1,1
B,2026,경상북도,경주시,세외수입,3960,6150,5280,15390,1,1,1,1
B,2026,경상북도,상주시,세외수입,3960,3300,0,7260,1,1,0,1
B,2026,경상북도,성주군,세외수입,2640,2680,7480,12800,1,1,1,1
B,2026,경상북도,칠곡군,세외수입,2640,1288,7480,11408,1,1,1,1
B,2026,경상북도,포항시,세외수입,3960,1120,10120,15200,1,1,1,1
B,2026,광주시,광산구,세외수입,,,,,0,0,0,0
A,2026,광주시,광주광역시,세외수입,3520,2200,0,5720,1,1,0,1
B,2026,광주시,동구,세외수입,1320,550,10120,11990,1,1,1,1
B,2026,광주시,북구,세외수입,2640,2200,10120,14960,1,1,1,1
B,2026,광주시,서구,세외수입,2640,3300,10120,16060,1,1,1,1
B,2026,대구시,남구,세외수입,,,,,0,0,0,0
B,2026,대구시,달성군,세외수입,1320,,9280,10600,1,0,1,1
B,2026,대구시,서구,세외수입,,,,,0,0,0,0
B,2026,대구시,수성구,세외수입,1320,1100,0,2420,1,1,0,1
B,2026,대구시,중구,세외수입,2640,,0,2640,1,0,0,1
B,2026,대전시,대덕구,세외수입,2640,,0,2640,1,0,0,1
A,2026,대전시,대전광역시,세외수입,3960,1100,10120,15180,1,1,1,1
B,2026,대전시,동구,세외수입,1320,6600,10120,18040,1,1,1,1
B,2026,대전시,서구,세외수입,3960,2200,10120,16280,1,1,1,1
B,2026,대전시,유성구,세외수입,3960,2200,20240,26400,1,1,1,1
B,2026,대전시,중구,세외수입,3960,7700,20240,31900,1,1,1,1
B,2026,부산시,강서구,세외수입,3960,1100,0,5060,1,1,0,1
B,2026,부산시,금정구,세외수입,,,,,0,0,0,0
B,2026,부산시,기장군,세외수입,1320,1100,0,2420,1,1,0,1
B,2026,부산시,북구,세외수입,5280,4400,10120,19800,1,1,1,1
